registration_month,powertrain_group,registration_count
2004-03,hybrid,13
2004-04,combustion,4697
2004-04,hybrid,10
2004-05,combustion,4872
2004-05,hybrid,8
2004-06,combustion,5487
2004-06,hybrid,12
2004-07,combustion,4981
2004-07,hybrid,10
2004-08,combustion,4773
2004-08,hybrid,9
2004-09,combustion,5183
2004-09,hybrid,12
2004-09,bev,1
2004-10,combustion,5228
2004-10,hybrid,13
2004-11,combustion,5129
2004-11,hybrid,17
2004-12,combustion,4992
2004-12,hybrid,8
2005-01,combustion,4763
2005-01,hybrid,15
2005-02,combustion,5277
2005-02,hybrid,14
2005-03,combustion,5728
2005-03,hybrid,18
2005-04,combustion,5093
2005-04,hybrid,13
2005-05,combustion,5598
2005-05,hybrid,6
2005-06,combustion,6266
2005-06,hybrid,11
2005-07,combustion,5828
2005-07,hybrid,29
2005-08,combustion,6332
2005-08,hybrid,25
2005-09,combustion,6261
2005-09,hybrid,20
2005-10,combustion,6016
2005-10,hybrid,22
2005-11,combustion,5861
2005-11,hybrid,24
2005-12,combustion,5719
2005-12,hybrid,5
2006-01,combustion,5974
2006-01,hybrid,18
2006-01,bev,1
2006-02,combustion,5780
2006-02,hybrid,14
2006-03,combustion,6682
2006-03,hybrid,45
2006-04,combustion,5102
2006-04,hybrid,28
2006-05,combustion,5951
2006-05,hybrid,70
2006-05,bev,2
2006-06,combustion,5678
2006-06,hybrid,32
2006-07,combustion,5572
2006-07,hybrid,20
2006-08,combustion,6022
2006-08,hybrid,35
2006-09,combustion,6281
2006-09,hybrid,32
2006-10,combustion,6587
2006-10,hybrid,22
2006-11,combustion,6035
2006-11,hybrid,29
2006-12,combustion,5582
2006-12,hybrid,22
2007-01,combustion,6635
2007-01,hybrid,37
2007-02,combustion,5881
2007-02,hybrid,57
2007-02,bev,1
2007-03,combustion,6994
2007-03,hybrid,44
2007-04,combustion,5472
2007-04,hybrid,27
2007-05,combustion,6916
2007-05,hybrid,47
2007-05,bev,1
2007-06,combustion,6772
2007-06,hybrid,44
2007-07,combustion,7155
2007-07,hybrid,45
2007-08,combustion,7590
2007-08,hybrid,41
2007-09,combustion,7336
2007-09,hybrid,37
2007-10,combustion,7922
2007-10,hybrid,39
2007-11,combustion,7151
2007-11,hybrid,47
2007-12,combustion,6450
2007-12,hybrid,33
2008-01,combustion,7964
2008-01,hybrid,51
2008-02,combustion,7018
2008-02,hybrid,45
2008-03,combustion,6970
2008-03,hybrid,50
2008-04,combustion,6380
2008-04,hybrid,60
2008-05,combustion,6225
2008-05,hybrid,57
2008-06,combustion,6884
2008-06,hybrid,49
2008-07,combustion,5936
2008-07,hybrid,66
2008-08,combustion,6010
2008-08,hybrid,32
2008-09,combustion,7074
2008-09,hybrid,37
2008-10,combustion,7514
2008-10,hybrid,17
2008-11,combustion,5452
2008-11,hybrid,28
2008-11,bev,1
2008-12,combustion,5807
2008-12,hybrid,24
2009-01,combustion,5514
2009-01,hybrid,32
2009-02,combustion,4186
2009-02,hybrid,28
2009-02,bev,1
2009-03,combustion,5188
2009-03,hybrid,21
2009-04,combustion,4091
2009-04,hybrid,37
2009-05,combustion,4572
2009-05,hybrid,23
2009-06,combustion,4918
2009-06,hybrid,36
2009-07,combustion,5331
2009-07,hybrid,51
2009-08,combustion,5089
2009-08,hybrid,83
2009-09,combustion,6056
2009-09,hybrid,39
2009-10,combustion,6359
2009-10,hybrid,33
2009-11,combustion,5612
2009-11,hybrid,45
2009-12,combustion,5664
2009-12,hybrid,24
2010-01,combustion,6863
2010-01,hybrid,45
2010-02,combustion,5784
2010-02,hybrid,56
2010-02,bev,1
2010-03,combustion,7116
2010-03,hybrid,64
2010-04,combustion,6249
2010-04,hybrid,35
2010-05,combustion,6261
2010-05,hybrid,44
2010-05,bev,1
2010-06,combustion,7391
2010-06,hybrid,43
2010-07,combustion,6458
2010-07,hybrid,48
2010-08,combustion,6558
2010-08,hybrid,73
2010-09,combustion,7778
2010-09,hybrid,84
2010-09,bev,4
2010-10,combustion,7194
2010-10,hybrid,40
2010-11,combustion,7409
2010-11,hybrid,97
2010-11,bev,1
