registration_month,import_status_group,registration_count
1976-11,nz_new,4
1976-12,other_or_unknown,56
1976-12,nz_new,8
1977-01,other_or_unknown,54
1977-01,nz_new,2
1977-02,other_or_unknown,31
1977-02,nz_new,3
1977-03,other_or_unknown,32
1977-03,nz_new,7
1977-04,other_or_unknown,29
1977-04,nz_new,5
1977-05,other_or_unknown,33
1977-05,nz_new,4
1977-06,other_or_unknown,71
1977-06,nz_new,9
1977-07,other_or_unknown,25
1977-07,nz_new,6
1977-08,other_or_unknown,22
1977-08,nz_new,6
1977-09,other_or_unknown,25
1977-09,nz_new,3
1977-10,other_or_unknown,26
1977-10,nz_new,4
1977-10,used_import,1
1977-11,other_or_unknown,26
1977-11,nz_new,3
1977-12,other_or_unknown,22
1977-12,nz_new,4
1978-01,other_or_unknown,40
1978-01,nz_new,4
1978-02,other_or_unknown,30
1978-02,nz_new,4
1978-03,other_or_unknown,23
1978-03,nz_new,2
1978-04,other_or_unknown,37
1978-04,nz_new,5
1978-05,other_or_unknown,33
1978-05,nz_new,3
1978-06,other_or_unknown,28
1978-06,nz_new,7
1978-07,other_or_unknown,30
1978-07,nz_new,6
1978-08,other_or_unknown,29
1978-08,nz_new,9
1978-09,other_or_unknown,32
1978-09,nz_new,6
1978-10,other_or_unknown,23
1978-10,nz_new,7
1978-11,other_or_unknown,37
1978-11,nz_new,10
1978-12,other_or_unknown,28
1978-12,nz_new,2
1979-01,other_or_unknown,57
1979-01,nz_new,9
1979-02,other_or_unknown,21
